"","killer_position_x","killer_position_y","victim_position_x","victim_position_y","killed_by","time","GunType","killerelevation","victimelevation","killdistance"
"10785813",418499.4,324449.6,418631.1,324746.7,"S686",166,"Shotgun","Normal","Normal",324.981999501524
"23731391",630856.9,307296.2,624574.8,344396.3,"M416",1475,"Rifle","Normal","Normal",37628.2101676388
"17989279",357899.7,408604.3,357721,410065.4,"SCAR-L",492,"Rifle","Normal","Normal",1471.98739804392
"2489182",669906.9,452782.8,669953.6,453424.3,"SKS",563,"Sniper","Normal","Normal",643.197590169612
"22528529",248250.4,238949.5,249217.9,240332.1,"UMP9",1427,"Sub Machine Gun","Normal","Normal",1687.49489184413
"13744213",436328.9,338397.6,436110.3,338390.8,"AKM",180,"Rifle","Normal","Normal",218.705738379255
"29308927",472405.8,362339.3,470315.2,364495.8,"M416",735,"Rifle","Normal","Normal",3003.51470946954
"19543343",408845.3,287445.8,409406.9,287614.9,"Micro UZI",531,"Sub Machine Gun","Normal","Normal",586.506069874857
"28156976",464104.9,649520.2,463857.1,650303.8,"UMP9",151,"Sub Machine Gun","Elevated","Elevated",821.847796127829
"31045626",485203.2,347101,487670.1,349074.8,"AKM",830,"Rifle","Normal","Normal",3159.34835844352
"24229846",437507.7,332910.8,437621.6,332987.2,"M416",407,"Rifle","Normal","Normal",137.150173167939
"29269502",616181.7,616545.3,616194.9,616667.5,"S12K",87,"Shotgun","Elevated","Elevated",122.910862009793
"813071",475084.1,659377,465099.8,650277.9,"AWM",809,"Sniper","Elevated","Elevated",13508.5109208972
"4802632",413317.6,379425,411815.8,379296.2,"AKM",1189,"Rifle","Normal","Normal",1507.31306635349
"1456726",410091,283974.5,430975.9,287536.8,"AKM",1502,"Rifle","Normal","Normal",21186.5294302772
"1902887",213045.6,270056.5,211692.1,269500.3,"SCAR-L",166,"Rifle","Normal","Normal",1463.32521675806
"21668654",490582.7,416802.2,492894.2,415355.1,"SCAR-L",1619,"Rifle","Normal","Normal",2727.11031313368
"16707926",386211.9,596193.5,380639.9,586235.4,"SKS",1390,"Sniper","Normal","Normal",11411.0008154412
"24892485",569107.9,379710.6,570208.3,380756.3,"Punch",137,"Melee","Normal","Normal",1518.0147067799
"14388249",147470.6,291221.1,148628.7,291157.2,"AKM",494,"Rifle","Normal","Normal",1159.86155208284
"19295643",217454.3,393637.2,216699.6,393556.9,"M416",906,"Rifle","Normal","Normal",758.95993306628
"34680071",568430.3,237114.8,566574.8,240910.8,"AKM",1972,"Rifle","Normal","Normal",4225.2214439009
"12387042",624664.1,613646.6,623037.4,611908.9,"M416",344,"Rifle","Elevated","Elevated",2380.28447459536
"33092061",197203.5,276297.4,197406.1,275264,"S686",354,"Shotgun","Normal","Normal",1053.07279900302
"13497301",663243.6,136051.2,662733.9,129238.1,"SCAR-L",481,"Rifle","Normal","Normal",6832.13917451921
"22708025",425473.2,326060.8,424623.2,325874.8,"UMP9",211,"Sub Machine Gun","Normal","Normal",870.112636386807
"11015197",733412.7,433507.8,733708.6,434081.4,"AKM",629,"Rifle","Normal","Normal",645.425262908149
"35789091",168978.1,528985.6,169055.5,529180.6,"M16A4",252,"Rifle","Normal","Normal",209.799332696744
"26715380",548437.8,595642.1,548748.9,596647.8,"AKM",1220,"Rifle","Normal","Normal",1052.71824340615
"3448516",315762.5,376497.4,313559.9,377636.5,"SKS",1378,"Sniper","Normal","Normal",2479.71683262421
"11150996",451200.6,629570.3,450629.5,629557.6,"S1897",339,"Shotgun","Normal","Normal",571.241192492256
"6700748",598247.6,419573.9,599189.4,419646,"S1897",1247,"Shotgun","Normal","Normal",944.555795069875
"4758642",548359.4,518902.7,549219.4,520460.8,"Dacia",1013,"Vehicles","Normal","Normal",1779.68413208635
